Наименование,Цена,Ед,Вариант,Артикул,Бренд
Газоблок ВКБлок 625x100x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x100x300 D600,172.98,₽/шт,1 шт,,
Газоблок ВКБлок 625x100x300 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x125x250 D600,180.19,₽/шт,1 шт,,
Газоблок ВКБлок 625x125x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x150x250 D600,216.23,₽/шт,1 шт,,
Газоблок ВКБлок 625x150x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x200x250 D600,288.3,₽/шт,1 шт,,
Газоблок ВКБлок 625x200x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x250x250 D600,360.39,₽/шт,1 шт,,
Газоблок ВКБлок 625x250x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x200x300 D600,345.97,₽/шт,1 шт,,
Газоблок ВКБлок 625x200x300 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x250x300 D600,360.39,₽/шт,1 шт,,
Газоблок ВКБлок 625x250x300 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x350x250 D600,504.54,₽/шт,1 шт,,
Газоблок ВКБлок 625x350x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x375x250 D600,540.57,₽/шт,1 шт,,
Газоблок ВКБлок 625x375x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x400x250 D600,576.62,₽/шт,1 шт,,
Газоблок ВКБлок 625x400x250 D600,7548.74,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x100x250 D400,140.1,₽/шт,1 шт,,
Газоблок ВКБлок 625x100x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x100x300 D400,168.11,₽/шт,1 шт,,
Газоблок ВКБлок 625x100x300 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x125x250 D400,175.11,₽/шт,1 шт,,
Газоблок ВКБлок 625x125x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
